x,y,area_px,cell_type
348,524,,ST
436,524,,ST
788,524,,ST
876,524,,ST
964,524,,ST
1053,524,,ST
1141,524,,ST
1229,524,,ST
1634,524,,ST
1722,524,,ST
1859,524,,ST
405,528,,ST
493,528,,ST
850,528,,ST
938,528,,ST
1026,528,,ST
1114,528,,ST
1202,528,,ST
1612,528,,ST
1700,528,,ST
1837,528,,ST
383,533,,ST
471,533,,ST
828,533,,ST
916,533,,ST
1004,533,,ST
1092,533,,ST
1180,533,,ST
1590,533,,ST
1678,533,,ST
1815,533,,ST
356,537,,ST
445,537,,ST
806,537,,ST
894,537,,ST
982,537,,ST
1070,537,,ST
1158,537,,ST
1246,537,,ST
1661,537,,ST
1797,537,,ST
1885,537,,ST
423,541,,ST
784,541,,ST
872,541,,ST
960,541,,ST
1048,541,,ST
1136,541,,ST
1224,541,,ST
1634,541,,ST
1722,541,,ST
1859,541,,ST
392,546,,ST
480,546,,ST
929,546,,ST
1017,546,,ST
1105,546,,ST
1194,546,,ST
1608,546,,ST
1696,546,,ST
1828,546,,ST
387,550,,ST
475,550,,ST
929,550,,ST
1017,550,,ST
1105,550,,ST
1194,550,,ST
1603,550,,ST
1692,550,,ST
1810,550,,ST
370,555,,ST
458,555,,ST
912,555,,ST
1000,555,,ST
1088,555,,ST
1176,555,,ST
1458,555,,ST
1674,555,,ST
1780,555,,ST
334,559,,ST
423,559,,ST
784,559,,ST
964,559,,ST
1053,559,,ST
1141,559,,ST
1229,559,,ST
1634,559,,ST
1722,559,,ST
1810,559,,ST
365,564,,ST
453,564,,ST
934,564,,ST
1022,564,,ST
1110,564,,ST
1198,564,,ST
1595,564,,ST
1683,564,,ST
1771,564,,ST
1859,564,,ST
409,568,,ST
497,568,,ST
969,568,,ST
1057,568,,ST
1145,568,,ST
1233,568,,ST
1621,568,,ST
1709,568,,ST
1797,568,,ST
348,572,,ST
436,572,,ST
854,572,,ST
973,572,,ST
1061,572,,ST
1150,572,,ST
1238,572,,ST
1621,572,,ST
1709,572,,ST
1797,572,,ST
330,577,,ST
418,577,,ST
832,577,,ST
938,577,,ST
1026,577,,ST
1114,577,,ST
1202,577,,ST
1458,577,,ST
1674,577,,ST
1762,577,,ST
1850,577,,ST
365,581,,ST
453,581,,ST
876,581,,ST
964,581,,ST
1053,581,,ST
1141,581,,ST
1229,581,,ST
1608,581,,ST
1696,581,,ST
1784,581,,ST
1872,581,,ST
365,586,,ST
453,586,,ST
876,586,,ST
964,586,,ST
1053,586,,ST
1141,586,,ST
1229,586,,ST
1586,586,,ST
1674,586,,ST
1762,586,,ST
1850,586,,ST
57,590,,ST
392,590,,ST
480,590,,ST
885,590,,ST
973,590,,ST
1061,590,,ST
1150,590,,ST
1238,590,,ST
1471,590,,ST
1665,590,,ST
1753,590,,ST
1841,590,,ST
35,594,,ST
348,594,,ST
436,594,,ST
599,594,,ST
757,594,,ST
934,594,,ST
1022,594,,ST
1110,594,,ST
1198,594,,ST
1423,594,,ST
